"wymiar" "czasC" "czasS"
"1" 32 1241 1146
"2" 32 1252 1151
"3" 32 1253 1162
"4" 32 1254 1175
"5" 32 1260 1194
"6" 32 1273 1211
"7" 32 1290 1228
"8" 32 1296 1269
"9" 32 1320 1270
"10" 32 1328 1281
"11" 32 1334 1281
"12" 32 1351 1293
"13" 32 1400 1296
"14" 32 1434 1311
"15" 32 1447 1324
"16" 32 1450 1330
"17" 32 1456 1338
"18" 32 1461 1343
"19" 32 1461 1355
"20" 32 1464 1397
"21" 32 1480 1405
"22" 32 1500 1420
"23" 32 1520 1432
"24" 32 1525 1436
"25" 32 1575 1531
"26" 64 3961 3774
"27" 64 4035 3819
"28" 64 4153 3825
"29" 64 4186 3845
"30" 64 4198 3930
"31" 64 4261 3934
"32" 64 4285 3960
"33" 64 4300 3988
"34" 64 4328 4017
"35" 64 4337 4096
"36" 64 4348 4098
"37" 64 4380 4106
"38" 64 4449 4130
"39" 64 4484 4163
"40" 64 4488 4207
"41" 64 4536 4215
"42" 64 4557 4219
"43" 64 4569 4241
"44" 64 4593 4269
"45" 64 4622 4271
"46" 64 4660 4281
"47" 64 4668 4291
"48" 64 4706 4294
"49" 64 4717 4433
"50" 64 4778 4477
